bigram,n,theme,literal
joseph stood,1,NA,joseph stood
joseph succeeded,1,NA,joseph succeeded
joseph’s agility,1,NA,joseph’s agility
joseph’s boots,1,NA,joseph’s boots
joseph’s cheek,1,NA,joseph’s cheek
joseph’s gun,1,NA,joseph’s gun
joseph’s kayak,1,NA,joseph’s kayak
joseph’s report,1,NA,joseph’s report
joseph’s shots,1,NA,joseph’s shots
joseph’s skills,1,NA,joseph’s skills
josephine beautiful,1,NA,josephine beautiful
joshua lindahl,1,NA,joshua lindahl
journal 1,1,NA,journal 1
journal 16,1,NA,journal 16
journal 20,1,NA,journal 20
journal 8,1,NA,journal 8
journals june,1,NA,journals june
journey 3,1,NA,journey 3
journey brought,1,NA,journey brought
journey changed,1,NA,journey changed
journey changing,1,NA,journey changing
journey half,1,NA,journey half
journey hayes,1,NA,journey hayes
journey inadequate,1,NA,journey inadequate
journey south,1,NA,journey south
journey unhindered,1,NA,journey unhindered
journeying farther,1,NA,journeying farther
journeys left,1,NA,journeys left
joy gleamed,1,NA,joy gleamed
joy rang,1,NA,joy rang
joyless life,1,NA,joyless life
judicial committee,1,NA,judicial committee
juice flour,1,NA,juice flour
juice salt,1,NA,juice salt
juicy roasts,1,NA,juicy roasts
julianehaab lay,1,NA,julianehaab lay
julianehaab’s captain,1,NA,julianehaab’s captain
julianehåb 44,1,NA,julianehåb 44
julianehåb godhavn,1,NA,julianehåb godhavn
julius caesar,1,NA,julius caesar
july 15,1,NA,july 15
july 1852,1,NA,july 1852
july 1857,1,NA,july 1857
july 1860,1,NA,july 1860
july 4th,1,NA,july 4th
july 5,1,NA,july 5
july afflicted,1,NA,july afflicted
july bryan,1,NA,july bryan
july grey,1,NA,july grey
july hans,1,NA,july hans
july hermann,1,NA,july hermann
july juniata,1,NA,july juniata
july kane,1,NA,july kane
july snowcrowned,1,NA,july snowcrowned
jump backward,1,NA,jump backward
jumping backward,1,NA,jumping backward
june 10th,1,NA,june 10th
june 12,1,NA,june 12
june 7,1,NA,june 7
june evening,1,NA,june evening
june living,1,NA,june living
june morton,1,NA,june morton
june ravenscraig,1,NA,june ravenscraig
june tyson,1,NA,june tyson
juniata 70,1,NA,juniata 70
juniata called,1,NA,juniata called
juniata encountered,1,NA,juniata encountered
juniata passed,1,NA,juniata passed
juniata ran,1,NA,juniata ran
juniata reached,1,NA,juniata reached
juniata succeeded,1,NA,juniata succeeded
juniata’s main,1,NA,juniata’s main
juniata’s situation,1,NA,juniata’s situation
junior 23,1,NA,junior 23
jupiter’s satellites,1,NA,jupiter’s satellites
justifiable doubts,1,NA,justifiable doubts
justification assume,1,NA,justification assume
justified pride,1,NA,justified pride
kamchadals dogs,1,NA,kamchadals dogs
kane advanced,1,NA,kane advanced
kane belonged,1,NA,kane belonged
kane clothes,1,NA,kane clothes
kane contented,1,NA,kane contented
kane decided,1,NA,kane decided
kane erected,1,NA,kane erected
kane estimated,1,NA,kane estimated
kane expedition,1,NA,kane expedition
kane found,1,NA,kane found
kane hans,1,NA,kane hans
kane hayes,1,NA,kane hayes
kane identified,1,NA,kane identified
kane immediately,1,NA,kane immediately
kane named,1,NA,kane named
kane opted,1,NA,kane opted
kane passed,1,NA,kane passed
kane periods,1,NA,kane periods
kane tells,1,NA,kane tells
kane’s cape,1,placename,kane’s cape
kane’s description,1,NA,kane’s description
kane’s discoveries,1,NA,kane’s discoveries
kane’s instructions,1,NA,kane’s instructions
kane’s observations,1,NA,kane’s observations
kane’s observatory,1,NA,kane’s observatory
kane’s parties,1,NA,kane’s parties
kane’s people,1,NA,kane’s people
kane’s plan,1,NA,kane’s plan
kane’s rendering,1,NA,kane’s rendering
kane’s ship,1,NA,kane’s ship
kane’s version,1,NA,kane’s version
kane’s winter,1,NA,kane’s winter
kangersuk 14,1,NA,kangersuk 14
kant en,1,NA,kant en
kara sea,1,NA,kara sea
karl ritter,1,NA,karl ritter
kater 15,1,NA,kater 15
katerweise nun,1,NA,katerweise nun
katzen den,1,NA,katzen den
kayak 47,1,NA,kayak 47
kayak closer,1,NA,kayak closer
kayak consists,1,NA,kayak consists
kayak handling,1,NA,kayak handling
kayak hans,1,NA,kayak hans
kayak measures,1,NA,kayak measures
kayak serves,1,NA,kayak serves
kayak trip,1,NA,kayak trip
kayaks jimmy,1,NA,kayaks jimmy
kayaks swung,1,NA,kayaks swung
keel stopped,1,NA,keel stopped
keen eyes,1,NA,keen eyes
keen spirit,1,NA,keen spirit
keenly eyed,1,NA,keenly eyed
keeper rushed,1,NA,keeper rushed
keeping littleton,1,NA,keeping littleton
keeping underway,1,NA,keeping underway
kennedy 11,1,NA,kennedy 11
kerchiefs wound,1,NA,kerchiefs wound
keys sensitively,1,NA,keys sensitively
kha khakha,1,NA,kha khakha
khakha kha,1,NA,khakha kha
kidneys belonged,1,NA,kidneys belonged
kill exclusively,1,NA,kill exclusively
kill hans,1,NA,kill hans
kill seals,1,NA,kill seals
killed 12,1,NA,killed 12
killed 13,1,NA,killed 13
killed 30,1,NA,killed 30
killed 7,1,NA,killed 7
killed 8,1,NA,killed 8
killed animals,1,NA,killed animals
killed jimmy’s,1,NA,killed jimmy’s
killed possessed,1,NA,killed possessed
killed raw,1,NA,killed raw
killing black,1,NA,killing black
killing lust,1,NA,killing lust
killing whales,1,NA,killing whales
kills belongs,1,NA,kills belongs
kindness poorly,1,NA,kindness poorly
kindness won,1,NA,kindness won
king eider,1,NA,king eider
king eiders,1,NA,king eiders
king god,1,NA,king god
king williams,1,NA,king williams
kingdom thine,1,NA,kingdom thine
kingiktok hall,1,NA,kingiktok hall
kirkcaldy commanded,1,NA,kirkcaldy commanded
kissma christmas,1,NA,kissma christmas
kitchen garbage,1,NA,kitchen garbage
kitchen middens,1,NA,kitchen middens
kitchen refuse,1,NA,kitchen refuse
kittiwake 9,1,NA,kittiwake 9
kittiwakes nested,1,NA,kittiwakes nested
klaar dat’s,1,NA,klaar dat’s
kleinschmidt 10,1,NA,kleinschmidt 10
kneading trough,1,NA,kneading trough
knee britches,1,NA,knee britches
knee downward,1,NA,knee downward
knees angle,1,NA,knees angle
knees drawn,1,NA,knees drawn
knife called,1,NA,knife called
knife separate,1,NA,knife separate
knives hans,1,NA,knives hans
knot tringa,1,NA,knot tringa
knots anxious,1,NA,knots anxious
knowledge 9,1,NA,knowledge 9
knowledge thick,1,NA,knowledge thick
knurren und,1,NA,knurren und
kommt dort,1,NA,kommt dort
kongsfjorden spitsbergen,1,NA,kongsfjorden spitsbergen
kratzen soll,1,NA,kratzen soll
krüger looked,1,NA,krüger looked
krüger nindemann,1,NA,krüger nindemann
krusenstjerna commanded,1,NA,krusenstjerna commanded
kurile islands,1,placename,kurile islands
la baie,1,NA,la baie
la faccia,1,NA,la faccia
la langue,1,NA,la langue
la punga,1,NA,la punga
labrador inuit,1,NA,labrador inuit
lack specific,1,NA,lack specific
lacked drinking,1,NA,lacked drinking
lacked positive,1,NA,lacked positive
lacombe published,1,NA,lacombe published
laconically short,1,NA,laconically short
lad bore,1,NA,lad bore
laden boat,1,NA,laden boat
laden broke,1,NA,laden broke
laden icebergs,1,NA,laden icebergs
laden sledges,1,NA,laden sledges
ladies provided,1,NA,ladies provided
lady appeared,1,NA,lady appeared
lady entreated,1,NA,lady entreated
lady toasts,1,NA,lady toasts
ladybug coccinella,1,NA,ladybug coccinella
laid completely,1,NA,laid completely
lain tightly,1,NA,lain tightly
lake 30,1,NA,lake 30
lake connects,1,NA,lake connects
lake kennedy,1,NA,lake kennedy
lake lay,1,NA,lake lay
lake tannick,1,NA,lake tannick
lakes 19,1,NA,lakes 19
lakes run,1,NA,lakes run
lamb 5300,1,NA,lamb 5300
lamentable months,1,NA,lamentable months
lamp 14,1,NA,lamp 14
lamp exists,1,NA,lamp exists
lamp falls,1,NA,lamp falls
lamp redundant,1,NA,lamp redundant
lamp requires,1,NA,lamp requires
lamp soot,1,NA,lamp soot
lamp spread,1,NA,lamp spread
lamps burning,1,NA,lamps burning
lamps feebly,1,NA,lamps feebly
lamps shone,1,NA,lamps shone
lancaster sounds,1,placename,lancaster sounds
lance head,1,NA,lance head
lance thrusts,1,NA,lance thrusts
lance whizzes,1,NA,lance whizzes
lances avatok,1,NA,lances avatok
lances harpoons,1,NA,lances harpoons
lances served,1,NA,lances served
lances supported,1,NA,lances supported
land 5,1,NA,land 5
land 8,1,NA,land 8
land animals,1,NA,land animals
land beckoned,1,NA,land beckoned
land bridge,1,NA,land bridge
land contained,1,NA,land contained
land displayed,1,NA,land displayed
land exhausted,1,NA,land exhausted
land extending,1,NA,land extending
land extremely,1,NA,land extremely
land farther,1,NA,land farther
land fog,1,NA,land fog
land immediately,1,NA,land immediately
land land,1,NA,land land
land loomed,1,NA,land loomed
land massive,1,NA,land massive
land morton,1,NA,land morton
land opposite,1,NA,land opposite
land owed,1,NA,land owed
land pack,1,NA,land pack
land polaris,1,NA,land polaris
land prevents,1,NA,land prevents
land projecting,1,NA,land projecting
land remained,1,NA,land remained
land shortly,1,NA,land shortly
land similar,1,NA,land similar
land survey,1,NA,land survey
landed budington’s,1,NA,landed budington’s
landed fleetingly,1,NA,landed fleetingly
landed hermann,1,NA,landed hermann
landed suddenly,1,NA,landed suddenly
landed tired,1,NA,landed tired
landfast ice,1,NA,landfast ice
landing site,1,NA,landing site
landscape lay,1,NA,landscape lay
landscape vegetative,1,NA,landscape vegetative
landward circling,1,NA,landward circling
language ch,1,NA,language ch
language clothing,1,NA,language clothing
language distinguishes,1,NA,language distinguishes
language opting,1,NA,language opting
langue des,1,NA,langue des
lantern emerge,1,NA,lantern emerge
lantern illuminated,1,NA,lantern illuminated
lanterns burning,1,NA,lanterns burning
lanterns walked,1,NA,lanterns walked
lap dog,1,NA,lap dog
lapland bunting,1,wildlife,lapland bunting
larger audience,1,NA,larger audience
larger barrels,1,NA,larger barrels
larger cage,1,NA,larger cage
larger floes,1,NA,larger floes
larger gaps,1,NA,larger gaps
larger greenland,1,NA,larger greenland
larger hummocks,1,NA,larger hummocks
larger littleton,1,NA,larger littleton
larger ports,1,NA,larger ports
larger scale,1,NA,larger scale
larger seabed,1,NA,larger seabed
larger structure,1,NA,larger structure
largescale map,1,NA,largescale map
largest angle,1,NA,largest angle
largest cargo,1,NA,largest cargo
largest collection,1,NA,largest collection
largest island,1,NA,largest island
largest leaves,1,NA,largest leaves
larus leucopterus,1,wildlife,larus leucopterus
lash 15,1,NA,lash 15
lashed securely,1,NA,lashed securely
lassen proposed,1,NA,lassen proposed
lasted 15,1,NA,lasted 15
lasted 3,1,NA,lasted 3
lasted 32,1,NA,lasted 32
lasting 20,1,NA,lasting 20
lasting 60,1,NA,lasting 60
lat 81,1,NA,lat 81
lat 82,1,NA,lat 82
late 1840s,1,NA,late 1840s
late afternoon,1,NA,late afternoon
late august,1,NA,late august
late fall,1,NA,late fall
late june,1,NA,late june
late spring,1,NA,late spring
lateral crevasses,1,NA,lateral crevasses
lateral moraine,1,NA,lateral moraine
lateral moraines,1,NA,lateral moraines
lateral somersaults,1,NA,lateral somersaults
laths revealed,1,NA,laths revealed
laths stuck,1,NA,laths stuck
latitude 53,1,NA,latitude 53
latitude 60,1,NA,latitude 60
latitude 75,1,NA,latitude 75
latitude 78,1,NA,latitude 78
latitude 80,1,NA,latitude 80
latitude 82,1,NA,latitude 82
latitude 83,1,NA,latitude 83
latitude advice,1,NA,latitude advice
latitude ahead,1,NA,latitude ahead
latitude closer,1,NA,latitude closer
latitude derived,1,NA,latitude derived
latitude difference,1,NA,latitude difference
latitude elicited,1,NA,latitude elicited
latitude obtained,1,NA,latitude obtained
latitude step,1,NA,latitude step
latitudes 80,1,NA,latitudes 80
latitudes determined,1,NA,latitudes determined
latter’s absence,1,NA,latter’s absence
latter’s blue,1,NA,latter’s blue
latter’s brightly,1,NA,latter’s brightly
latter’s estimate,1,NA,latter’s estimate
launch continued,1,NA,launch continued
launch passed,1,NA,launch passed
launch smashed,1,NA,launch smashed
launch steam,1,NA,launch steam
launch’s bow,1,NA,launch’s bow
launch’s position,1,NA,launch’s position
launched immediately,1,NA,launched immediately
law lost,1,NA,law lost
law pleaded,1,NA,law pleaded
"lay 2,409",1,NA,"lay 2,409"
lay 32,1,NA,lay 32
lay ahead,1,NA,lay ahead
lay alongside,1,NA,lay alongside
lay apathetically,1,NA,lay apathetically
lay astern,1,NA,lay astern
lay atop,1,NA,lay atop
lay barely,1,NA,lay barely
lay beneath,1,NA,lay beneath
lay beset,1,NA,lay beset
lay bold,1,NA,lay bold
lay claim,1,NA,lay claim
lay completely,1,NA,lay completely
lay concealed,1,NA,lay concealed
lay deep,1,NA,lay deep
lay disko,1,NA,lay disko
lay fatally,1,NA,lay fatally
lay flat,1,NA,lay flat
lay jammed,1,NA,lay jammed
lay knee,1,NA,lay knee
lay low,1,NA,lay low
lay nearby,1,NA,lay nearby
lay openly,1,NA,lay openly
lay opposite,1,NA,lay opposite
lay partially,1,NA,lay partially
lay precisely,1,NA,lay precisely
lay ready,1,NA,lay ready
lay solely,1,NA,lay solely
lay solid,1,NA,lay solid
lay sprawled,1,NA,lay sprawled
lay stark,1,NA,lay stark
lay transverse,1,NA,lay transverse
lay unmoved,1,NA,lay unmoved
lay upside,1,NA,lay upside
lay weeping,1,NA,lay weeping
layer consists,1,NA,layer consists
layer covering,1,NA,layer covering
layer forms,1,NA,layer forms
layers form,1,NA,layers form
laying i.e,1,NA,laying i.e
lb hand,1,NA,lb hand
lb lead,1,NA,lb lead
lb weights,1,NA,lb weights
lbs left,1,NA,lbs left
le type,1,NA,le type
lead budington,1,NA,lead budington
lead bullet,1,NA,lead bullet
lead closed,1,NA,lead closed
lead coloured,1,NA,lead coloured
lead dog,1,NA,lead dog
lead extended,1,NA,lead extended
lead ingots,1,NA,lead ingots
lead mines,1,NA,lead mines
lead ran,1,NA,lead ran
lead scattered,1,NA,lead scattered
lead shot,1,NA,lead shot
lead weights,1,NA,lead weights
leader collapsed,1,NA,leader collapsed
leader saved,1,NA,leader saved
leader shouting,1,NA,leader shouting
leader welcomed,1,NA,leader welcomed
leadership construction,1,NA,leadership construction
leadership polaris,1,NA,leadership polaris
leading north,1,NA,leading north
leads developed,1,NA,leads developed
leads disappeared,1,NA,leads disappeared
leads extended,1,NA,leads extended
leads finally,1,NA,leads finally
leads formed,1,NA,leads formed
leads ran,1,NA,leads ran
leaf develops,1,NA,leaf develops
leagues farther,1,NA,leagues farther
leak 24,1,NA,leak 24
leak worsens,1,NA,leak worsens
leaking worse,1,NA,leaking worse
lean quiet,1,NA,lean quiet
lean rations,1,NA,lean rations
leaps found,1,NA,leaps found
leaps pursued,1,NA,leaps pursued
learned societies,1,NA,learned societies
learning period,1,NA,learning period
leather cover,1,NA,leather cover
leather item,1,NA,leather item
leather lies,1,NA,leather lies
leather objects,1,NA,leather objects
leather skin,1,NA,leather skin
leave budington,1,NA,leave budington
leave budington’s,1,NA,leave budington’s
leave chester,1,NA,leave chester
leave fell,1,NA,leave fell
leave hall,1,NA,leave hall
leave news,1,NA,leave news
leave unfinished,1,NA,leave unfinished
leaves barely,1,NA,leaves barely
leaves prince,1,NA,leaves prince
leaves rustle,1,NA,leaves rustle
leaves smelled,1,NA,leaves smelled
leaves surrounding,1,NA,leaves surrounding
leaving civilization,1,NA,leaving civilization
leaving day,1,NA,leaving day
leaving newfoundland,1,NA,leaving newfoundland
leaving visible,1,NA,leaving visible
leaving wide,1,NA,leaving wide
led upward,1,NA,led upward
ledge 3,1,NA,ledge 3
ledge barely,1,NA,ledge barely
ledges sparkled,1,NA,ledges sparkled
leeuwen dat’s,1,NA,leeuwen dat’s
left aboard,1,NA,left aboard
left ach,1,NA,left ach
left antler,1,NA,left antler
left arm,1,NA,left arm
left bay,1,NA,left bay
left bobbing,1,NA,left bobbing
left boston,1,NA,left boston
left cape,1,NA,left cape
left cheek,1,NA,left cheek
left christianized,1,NA,left christianized
left dalrymple,1,NA,left dalrymple
left deep,1,NA,left deep
left glasgow,1,NA,left glasgow
left hall,1,NA,left hall
left haunch,1,NA,left haunch
left hind,1,NA,left hind
left lancaster,1,NA,left lancaster
left leg,1,NA,left leg
left lie,1,NA,left lie
left lying,1,NA,left lying
left newfoundland,1,NA,left newfoundland
left north,1,NA,left north
left nostrils,1,NA,left nostrils
left partly,1,NA,left partly
left paw,1,NA,left paw
left scandinavia,1,NA,left scandinavia
left shoulder,1,NA,left shoulder
left smith,1,NA,left smith
left stood,1,NA,left stood
left unattended,1,NA,left unattended
left upernavik,1,NA,left upernavik
left upper,1,NA,left upper
left wolstenholme,1,NA,left wolstenholme
leg bone,1,NA,leg bone
legged companion,1,NA,legged companion
legged messenger,1,NA,legged messenger
legged stool,1,NA,legged stool
legitimate doubts,1,NA,legitimate doubts
legs assumed,1,NA,legs assumed
legs finally,1,NA,legs finally
legs lie,1,NA,legs lie
legs partly,1,NA,legs partly
legs suffered,1,NA,legs suffered
leisure 9,1,NA,leisure 9
leisure hours,1,NA,leisure hours
leisure period,1,NA,leisure period
lemming appears,1,NA,lemming appears
lemming bone,1,NA,lemming bone
lemming track,1,NA,lemming track
lemmings ethnological,1,NA,lemmings ethnological
lemmings occur,1,NA,lemmings occur
lemmings paid,1,NA,lemmings paid
length 5,1,NA,length 5
length cape,1,NA,length cape
length consist,1,NA,length consist
length consists,1,NA,length consists
length due,1,NA,length due
length forms,1,NA,length forms
length increases,1,NA,length increases
length north,1,NA,length north
lengthy besetment,1,NA,lengthy besetment
lens shaped,1,NA,lens shaped
lentils completed,1,NA,lentils completed
leonora’s lost,1,NA,leonora’s lost
leopold von,1,NA,leopold von
lesser degree,1,NA,lesser degree
lesser size,1,NA,lesser size
letters coal,1,NA,letters coal
letters follow,1,NA,letters follow
lettuce rhubarb,1,NA,lettuce rhubarb
leucopterus 9,1,NA,leucopterus 9
level 1,1,NA,level 1
level 19,1,NA,level 19
level 9,1,NA,level 9
level beach,1,NA,level beach
level country,1,NA,level country
level crest,1,NA,level crest
level crown,1,NA,level crown
level floes,1,NA,level floes
level lay,1,NA,level lay
level mauch,1,NA,level mauch
level patch,1,NA,level patch
level produces,1,NA,level produces
levelling screws,1,NA,levelling screws
levels matched,1,NA,levels matched
liberal fashion,1,NA,liberal fashion
lice appeared,1,NA,lice appeared
lichen covered,1,NA,lichen covered
lichen crust,1,NA,lichen crust
lichen surfaces,1,NA,lichen surfaces
lichens flourished,1,NA,lichens flourished
lichtenfels 142,1,NA,lichtenfels 142
lichtenfels 15,1,NA,lichtenfels 15
lichtenfels german,1,NA,lichtenfels german
lichtenfels massive,1,NA,lichtenfels massive
licked hissingly,1,NA,licked hissingly
lie 500,1,NA,lie 500
lie completely,1,NA,lie completely
lie farthest,1,NA,lie farthest
lie hidden,1,NA,lie hidden
lie ready,1,NA,lie ready
lie sheer,1,NA,lie sheer
lie snugly,1,NA,lie snugly
lie tight,1,NA,lie tight
lieber 2,1,NA,lieber 2
lieber entitled,1,NA,lieber entitled
lies buried,1,NA,lies buried
lies closer,1,NA,lies closer
lies coiled,1,NA,lies coiled
lies completely,1,NA,lies completely
lies dead,1,NA,lies dead
lies embedded,1,NA,lies embedded
lies groton,1,NA,lies groton
lies hidden,1,NA,lies hidden
lies secured,1,NA,lies secured
lies stretched,1,NA,lies stretched
lieutenant chipp,1,NA,lieutenant chipp
lieutenant de,1,NA,lieutenant de
lieutenant palander,1,NA,lieutenant palander
lieutenant parry,1,NA,lieutenant parry
lievely 1,1,NA,lievely 1
lievely located,1,NA,lievely located
life appears,1,NA,life appears
life begins,1,NA,life begins
life blood,1,NA,life blood
life close,1,NA,life close
life entrance,1,NA,life entrance
life forms,1,NA,life forms
life gentle,1,NA,life gentle
life hunger,1,NA,life hunger
life joseph,1,NA,life joseph
life offers,1,NA,life offers
life passes,1,NA,life passes
life shortly,1,NA,life shortly
life’s companions,1,NA,life’s companions
lifeboat buried,1,NA,lifeboat buried
lifted land,1,NA,lifted land
lifting one’s,1,NA,lifting one’s
light atmospheric,1,NA,light atmospheric
light bordered,1,NA,light bordered
light canvas,1,NA,light canvas
light cast,1,NA,light cast
light colour,1,NA,light colour
light coloured,1,NA,light coloured
light dense,1,NA,light dense
light drizzling,1,NA,light drizzling
light east,1,NA,light east
light easterly,1,NA,light easterly
light effects,1,NA,light effects
light flashed,1,NA,light flashed
light fog,1,NA,light fog
light framework,1,NA,light framework
light headwinds,1,NA,light headwinds
light hunting,1,NA,light hunting
light loads,1,NA,light loads
light mist,1,NA,light mist
light north,1,NA,light north
light northeasterly,1,NA,light northeasterly
light patch,1,NA,light patch
light penetrated,1,NA,light penetrated
light plumage,1,NA,light plumage
light purple,1,NA,light purple
light rains,1,NA,light rains
light rarely,1,NA,light rarely
light reading,1,NA,light reading
light red,1,NA,light red
light reflected,1,NA,light reflected
light shining,1,NA,light shining
light ship’s,1,NA,light ship’s
light snow,1,NA,light snow
light southerly,1,NA,light southerly
light tan,1,NA,light tan
light transitorily,1,NA,light transitorily
light wind,1,NA,light wind
light wings,1,NA,light wings
light winter,1,NA,light winter
lighten joseph’s,1,NA,lighten joseph’s
lightened sledges,1,NA,lightened sledges
lighthearted nature,1,NA,lighthearted nature
lighthouse 23,1,NA,lighthouse 23
lighting compensated,1,NA,lighting compensated
lighting effects,1,NA,lighting effects
lightly covered,1,NA,lightly covered
lightly overcast,1,NA,lightly overcast
lightly undulating,1,NA,lightly undulating
lightning speed,1,NA,lightning speed
lights 7,1,NA,lights 7
lights appeared,1,NA,lights appeared
lights disappeared,1,NA,lights disappeared
lights frequently,1,NA,lights frequently
lights illumination,1,NA,lights illumination
lights occurred,1,NA,lights occurred
lights sparkled,1,NA,lights sparkled
lightship 16,1,NA,lightship 16
lima beans,1,NA,lima beans
limacina arctica,1,wildlife,limacina arctica
limbs menacingly,1,NA,limbs menacingly
lime grains,1,NA,lime grains
limestone boulders,1,NA,limestone boulders
limestone cliffs,1,NA,limestone cliffs
limestone covered,1,NA,limestone covered
limestone descended,1,NA,limestone descended
limestone erratics,1,NA,limestone erratics
limestone formation,1,NA,limestone formation
limestone fragments,1,NA,limestone fragments
limestone gravel,1,NA,limestone gravel
limestone masses,1,NA,limestone masses
limestone outcrop,1,NA,limestone outcrop
limestone plateau,1,NA,limestone plateau
limestone predominated,1,NA,limestone predominated
limestone reminded,1,NA,limestone reminded
limestone ridge,1,NA,limestone ridge
limestone rubble,1,NA,limestone rubble
limestone shores,1,NA,limestone shores
limestone slabs,1,NA,limestone slabs
limestone substrate,1,NA,limestone substrate
limited abilities,1,NA,limited abilities
limited degree,1,NA,limited degree
limited depth,1,NA,limited depth
limited funds,1,NA,limited funds
limited polynyas,1,NA,limited polynyas
limited range,1,NA,limited range
limited space,1,NA,limited space
limited supply,1,NA,limited supply
linaria 11,1,NA,linaria 11
lindahl 36,1,NA,lindahl 36
lindquist joseph,1,NA,lindquist joseph
line 3,1,NA,line 3
line bisecting,1,NA,line bisecting
line called,1,NA,line called
line commanded,1,NA,line commanded
line cut,1,NA,line cut
line delayed,1,NA,line delayed
line distance,1,NA,line distance
line fast,1,NA,line fast
line held,1,NA,line held
line involved,1,NA,line involved
line run,1,NA,line run
line runs,1,NA,line runs
line tubs,1,NA,line tubs
lines 5,1,NA,lines 5
lines 6,1,NA,lines 6
lines carpenter’s,1,NA,lines carpenter’s
lines prepared,1,NA,lines prepared
lines produced,1,NA,lines produced
lines reproduced,1,NA,lines reproduced
lingering notes,1,NA,lingering notes
linné’s botanical,1,NA,linné’s botanical
linnet 3,1,NA,linnet 3
linnet linota,1,NA,linnet linota
linota linaria,1,wildlife,linota linaria
lint teased,1,NA,lint teased
lip fits,1,NA,lip fits
lips gleamed,1,NA,lips gleamed
lips issued,1,NA,lips issued
liquid devotions,1,NA,liquid devotions
liquid found,1,NA,liquid found
liquid snow,1,NA,liquid snow
listened devoutly,1,NA,listened devoutly
listing considerably,1,NA,listing considerably
lit simultaneously,1,NA,lit simultaneously
literally bored,1,NA,literally bored
lithographed pictures,1,NA,lithographed pictures
live 6,1,NA,live 6
live animal,1,NA,live animal
live frugally,1,NA,live frugally
lived 8,1,NA,lived 8
lived aboard,1,NA,lived aboard
lived happily,1,NA,lived happily
lively activity,1,NA,lively activity
lively dr,1,NA,lively dr
lively exciting,1,NA,lively exciting
lively eyes,1,NA,lively eyes
lively fashion,1,NA,lively fashion
lively genre,1,NA,lively genre
lively lad,1,NA,lively lad
lively recitations,1,NA,lively recitations
lively traffic,1,NA,lively traffic
lives exclusively,1,NA,lives exclusively
living accommodations,1,NA,living accommodations
living cat,1,NA,living cat
living creatures,1,NA,living creatures
living evidence,1,NA,living evidence
living farther,1,NA,living farther
living monsters,1,NA,living monsters
living people,1,NA,living people
living plants,1,NA,living plants
living protoplasm,1,NA,living protoplasm
living quarters,1,NA,living quarters
lloyd relayed,1,NA,lloyd relayed
lloyd steamer,1,NA,lloyd steamer
lloyd’s needles,1,NA,lloyd’s needles
load finally,1,NA,load finally
load forward,1,NA,load forward
loaded aboard,1,NA,loaded aboard
loaded provisions,1,NA,loaded provisions
loaded rifle,1,NA,loaded rifle
loaded sledges,1,NA,loaded sledges
loads carried,1,NA,loads carried
loads covering,1,NA,loads covering
local attraction,1,NA,local attraction
local bears,1,NA,local bears
local conditions,1,NA,local conditions
local diversion,1,NA,local diversion
local natives,1,NA,local natives
local residents,1,NA,local residents
located 1,1,NA,located 1
located 14.2,1,NA,located 14.2
located 36.5,1,NA,located 36.5
located 8.5,1,NA,located 8.5
located closest,1,NA,located closest
located earlier,1,NA,located earlier
located farther,1,NA,located farther
located forward,1,NA,located forward
located underwent,1,NA,located underwent
location lying,1,NA,location lying
location width,1,NA,location width
locations fig,1,NA,locations fig
locations lying,1,NA,locations lying
loch shin,1,NA,loch shin
locker aft,1,NA,locker aft
locker watertight,1,NA,locker watertight
lockhart 1,1,NA,lockhart 1
lodges securely,1,NA,lodges securely
log line,1,NA,log line
logarithmic table,1,NA,logarithmic table
logarithmic tables,1,NA,logarithmic tables
logs 1,1,NA,logs 1
london coast,1,NA,london coast
london meteorological,1,NA,london meteorological
london rink,1,NA,london rink
london rising,1,NA,london rising
london’s spacious,1,NA,london’s spacious
lonely grave,1,NA,lonely grave
lonely trek,1,NA,lonely trek
lonesome fiord,1,NA,lonesome fiord
long’s efforts,1,NA,long’s efforts
long’s official,1,NA,long’s official
longitude 67,1,NA,longitude 67
longitude calculated,1,NA,longitude calculated
longitudinal passages,1,NA,longitudinal passages
longsought land,1,NA,longsought land
looked forward,1,NA,looked forward
looked lively,1,NA,looked lively
looked upward,1,NA,looked upward
lookout spotted,1,NA,lookout spotted
lookout woke,1,NA,lookout woke
loomed black,1,NA,loomed black
loomed vaguely,1,NA,loomed vaguely
looms 52,1,NA,looms 52
loose brash,1,NA,loose brash
loose flakes,1,NA,loose flakes
loose ice,1,NA,loose ice
loose mercilessly,1,NA,loose mercilessly
loose rock,1,NA,loose rock
loose snowflake,1,NA,loose snowflake
loose wool,1,NA,loose wool
loosely tied,1,NA,loosely tied
lor testimonianza,1,NA,lor testimonianza
lost american,1,NA,lost american
lost completely,1,NA,lost completely
lost day,1,NA,lost day
lost kiss,1,NA,lost kiss
lost shortly,1,NA,lost shortly
lost sight,1,NA,lost sight
lost sketches,1,NA,lost sketches
lost valuable,1,NA,lost valuable
loud cheers,1,NA,loud cheers
loud clapping,1,NA,loud clapping
loud cracks,1,NA,loud cracks
loud cry,1,NA,loud cry
loud howl,1,NA,loud howl
loud jubilation,1,NA,loud jubilation
loud laughter,1,NA,loud laughter
loud nasal,1,NA,loud nasal
loud wailing,1,NA,loud wailing
louder voice,1,NA,louder voice
loudly dashing,1,NA,loudly dashing
loudly expressed,1,NA,loudly expressed
loudly pilot,1,NA,loudly pilot
loudly shouting,1,NA,loudly shouting
